Apple	(NASDAQ:AAPL)	AAPL Quote
American Express	(NYSE:AXP)	AXP Quote
Boeing	(NYSE:BA)	BA Quote
Caterpillar	(NYSE:CAT)	CAT Quote
Cisco Systems	(NASDAQ:CSCO)	CSCO Quote
Chevron	(NYSE:CVX)	CVX Quote
Coca-Cola	(NYSE:KO)	KO Quote
DuPont	(NYSE:DD)	DD Quote
ExxonMobil	(NYSE:XOM)	XOM Quote
General Electric	(NYSE:GE)	GE Quote
Goldman Sachs	(NYSE:GS)	GS Quote
Home Depot	(NYSE:HD)	HD Quote
IBM	(NYSE:IBM)	IBM Quote
Intel 	(NASDAQ:INTC)	INTC Quote
Johnson & Johnson	(NYSE:JNJ)	JNJ Quote
JPMorgan Chase	(NYSE:JPM)	JPM Quote
McDonald's	(NYSE:MCD)	MCD Quote
3M Company	(NYSE:MMM)	MMM Quote
Merck	(NYSE:MRK)	MRK Quote
Microsoft	(NASDAQ:MSFT)	MSFT Quote
Nike	(NYSE:NKE)	NKE Quote
Pfizer	(NYSE:PFE)	PFE Quote
Procter & Gamble	(NYSE:PG)	PG Quote
The Travelers	(NYSE:TRV)	TRV Quote
UnitedHealth	(NYSE:UNH)	UNH Quote
United Technologies	(NYSE:UTX)	UTX Quote
Visa	(NYSE:V)	V Quote
Verizon	(NYSE:VZ)	VZ Quote
Wal-Mart	(NYSE:WMT)	WMT Quote
Walt Disney	(NYSE:DIS)	DIS Quote
